      'CASE',      'RAD?',     'TRIM?',      'MACH',        'RE',       'ALT',         'Q',      'BETA',       'PHI',     'ALPHA',        'CL',        'CD',     'CL/CD'
1,0,0,1,5.80E+05,65000,83.2505,0,0,20,5.12083,3.6602,1.399057429
1,0,0,1.25,7.20E+05,65000,130.0789,0,0,20,4.01141,2.9089,1.379012685
1,0,0,1.5,8.60E+05,65000,187.3136,0,0,20,4.16377,2.9514,1.410777936
1,0,0,1.75,1.00E+06,65000,254.9546,0,0,20,4.32536,3.0155,1.434375725
1,0,0,2,1.20E+06,65000,333.0019,0,0,20,4.277585,2.9586,1.445813898
1,0,0,2.5,1.40E+06,65000,520.3155,0,0,20,4.162795,2.833,1.469394635
1,0,0,3,1.70E+06,65000,749.2543,0,0,20,3.975595,2.6767,1.485259835
1,0,0,4,2.30E+06,65000,1332.0076,0,0,20,3.685565,2.4381,1.511654567
1,0,0,1,3.50E+05,75000,51.7916,0,0,-5,-1.05781,0.9619,-1.099708909
1,0,0,1.25,4.40E+05,75000,80.9243,0,0,-5,-0.717925,0.7335,-0.97876619
1,0,0,1.5,5.30E+05,75000,116.531,0,0,-5,-0.71773,0.6793,-1.056572943
1,0,0,1.75,6.20E+05,75000,158.6117,0,0,-5,-0.70642,0.6359,-1.11089794
1,0,0,2,7.10E+05,75000,207.1663,0,0,-5,-0.69511,0.6001,-1.158323613
1,0,0,2.5,8.80E+05,75000,323.6973,0,0,-5,-0.664105,0.533,-1.24597561
1,0,0,3,1.10E+06,75000,466.1241,0,0,-5,-0.63752,0.4768,-1.337080537
1,0,0,4,1.40E+06,75000,828.665,0,0,-5,-0.60372,0.3944,-1.530730223
1,0,0,1,3.50E+05,75000,51.7916,0,0,-1,-0.194935,0.8233,-0.236772744
1,0,0,1.25,4.40E+05,75000,80.9243,0,0,-1,-0.12116,0.6341,-0.191073963
1,0,0,1.5,5.30E+05,75000,116.531,0,0,-1,-0.11973,0.5789,-0.206823286
1,0,0,1.75,6.20E+05,75000,158.6117,0,0,-1,-0.117455,0.537,-0.218724395
1,0,0,2,7.10E+05,75000,207.1663,0,0,-1,-0.115245,0.5027,-0.229252039
1,0,0,2.5,8.80E+05,75000,323.6973,0,0,-1,-0.109005,0.4398,-0.247851296
1,0,0,3,1.10E+06,75000,466.1241,0,0,-1,-0.10361,0.3871,-0.267656936
1,0,0,4,1.40E+06,75000,828.665,0,0,-1,-0.09698,0.3091,-0.313749596
1,0,0,1,3.50E+05,75000,51.7916,0,0,0,0,0.8179,0
1,0,0,1.25,4.40E+05,75000,80.9243,0,0,0,0,0.6305,0
1,0,0,1.5,5.30E+05,75000,116.531,0,0,0,0,0.5754,0
1,0,0,1.75,6.20E+05,75000,158.6117,0,0,0,0,0.5336,0
1,0,0,2,7.10E+05,75000,207.1663,0,0,0,0,0.4993,0
1,0,0,2.5,8.80E+05,75000,323.6973,0,0,0,0,0.4365,0
1,0,0,3,1.10E+06,75000,466.1241,0,0,0,0,0.384,0
1,0,0,4,1.40E+06,75000,828.665,0,0,0,0,0.3062,0
1,0,0,1,3.50E+05,75000,51.7916,0,0,1,0.194935,0.8233,0.236772744
1,0,0,1.25,4.40E+05,75000,80.9243,0,0,1,0.12116,0.6341,0.191073963
1,0,0,1.5,5.30E+05,75000,116.531,0,0,1,0.11973,0.5789,0.206823286
1,0,0,1.75,6.20E+05,75000,158.6117,0,0,1,0.117455,0.537,0.218724395
1,0,0,2,7.10E+05,75000,207.1663,0,0,1,0.115245,0.5027,0.229252039
1,0,0,2.5,8.80E+05,75000,323.6973,0,0,1,0.109005,0.4398,0.247851296
1,0,0,3,1.10E+06,75000,466.1241,0,0,1,0.10361,0.3871,0.267656936
1,0,0,4,1.40E+06,75000,828.665,0,0,1,0.09698,0.3091,0.313749596
1,0,0,1,3.50E+05,75000,51.7916,0,0,5,1.05781,0.9619,1.099708909
1,0,0,1.25,4.40E+05,75000,80.9243,0,0,5,0.717925,0.7335,0.97876619
1,0,0,1.5,5.30E+05,75000,116.531,0,0,5,0.71773,0.6793,1.056572943
1,0,0,1.75,6.20E+05,75000,158.6117,0,0,5,0.70642,0.6359,1.11089794
1,0,0,2,7.10E+05,75000,207.1663,0,0,5,0.69511,0.6001,1.158323613
1,0,0,2.5,8.80E+05,75000,323.6973,0,0,5,0.664105,0.533,1.24597561
